name,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,63.39,63.98,64.3,64.6,64.89,65.17,65.44,65.7,65.95,66.18,66.42,66.64,66.86,67.07,67.28,67.48,67.68,67.87,68.05,68.23,68.41,68.59,68.75,68.92,69.08,69.24,69.39,69.55,69.7,69.85,70,70.15,70.29,70.44,70.58,70.72,70.86,71,71.13,71.27,71.4,71.54,71.68,71.81,71.95,72.08,72.22,72.35,72.48,72.61,72.74,72.88,73.01,73.14,73.28,73.41,73.55,73.68,73.82,73.95,74.08,74.22,74.35,74.49,74.62,74.75,74.89,75.02,75.16,75.29,75.42,75.55,75.69,75.82,75.95,76.09,76.22,76.36,76.5,76.64,76.77
Albania,77.9,78.73,78.84,78.96,79.09,79.23,79.37,79.53,79.69,79.85,80.02,80.18,80.34,80.5,80.65,80.79,80.93,81.06,81.2,81.34,81.47,81.61,81.75,81.89,82.02,82.16,82.3,82.44,82.58,82.72,82.85,82.99,83.12,83.26,83.39,83.52,83.65,83.77,83.9,84.02,84.14,84.26,84.38,84.49,84.61,84.72,84.83,84.94,85.05,85.16,85.27,85.37,85.47,85.58,85.68,85.78,85.88,85.98,86.08,86.19,86.29,86.39,86.49,86.6,86.7,86.8,86.9,87,87.11,87.21,87.31,87.42,87.52,87.62,87.73,87.83,87.94,88.04,88.15,88.25,88.36
Algeria,76.2,76.56,76.74,76.91,77.09,77.26,77.43,77.6,77.77,77.94,78.11,78.27,78.44,78.6,78.76,78.92,79.08,79.24,79.39,79.55,79.71,79.86,80.01,80.17,80.32,80.47,80.62,80.77,80.92,81.07,81.21,81.36,81.5,81.65,81.79,81.93,82.07,82.2,82.34,82.47,82.61,82.74,82.87,83,83.12,83.25,83.37,83.49,83.62,83.74,83.85,83.97,84.09,84.2,84.31,84.42,84.53,84.64,84.74,84.84,84.95,85.05,85.15,85.25,85.35,85.46,85.56,85.66,85.77,85.87,85.98,86.08,86.19,86.29,86.39,86.5,86.6,86.7,86.8,86.9,87
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,65.2,65.78,66.11,66.43,66.75,67.07,67.39,67.71,68.02,68.31,68.61,68.89,69.16,69.43,69.7,69.96,70.21,70.45,70.69,70.92,71.14,71.36,71.57,71.77,71.98,72.17,72.36,72.55,72.74,72.92,73.09,73.27,73.44,73.6,73.77,73.93,74.09,74.24,74.4,74.55,74.7,74.85,74.99,75.13,75.28,75.41,75.55,75.69,75.83,75.96,76.1,76.23,76.37,76.5,76.64,76.77,76.9,77.03,77.16,77.29,77.42,77.54,77.67,77.8,77.93,78.05,78.18,78.31,78.44,78.57,78.7,78.83,78.96,79.09,79.22,79.35,79.48,79.61,79.74,79.88,80.01
Antigua and Barbuda,76.25,76.55,76.67,76.8,76.93,77.06,77.19,77.32,77.44,77.57,77.7,77.83,77.96,78.08,78.21,78.34,78.46,78.59,78.72,78.84,78.97,79.09,79.22,79.34,79.47,79.59,79.72,79.84,79.97,80.1,80.22,80.35,80.48,80.6,80.73,80.85,80.98,81.1,81.23,81.35,81.48,81.6,81.72,81.85,81.97,82.09,82.22,82.34,82.46,82.58,82.7,82.82,82.94,83.05,83.17,83.28,83.4,83.51,83.62,83.73,83.84,83.95,84.06,84.16,84.27,84.37,84.48,84.58,84.68,84.78,84.88,84.98,85.08,85.18,85.28,85.38,85.47,85.57,85.67,85.77,85.86
Argentina,74.61,76.87,77.01,77.16,77.3,77.45,77.6,77.75,77.9,78.04,78.19,78.34,78.49,78.64,78.78,78.93,79.08,79.23,79.37,79.52,79.67,79.82,79.96,80.11,80.26,80.41,80.56,80.7,80.85,81,81.15,81.29,81.44,81.59,81.73,81.87,82.02,82.16,82.3,82.44,82.58,82.71,82.85,82.98,83.11,83.24,83.36,83.49,83.61,83.74,83.86,83.98,84.1,84.22,84.34,84.45,84.57,84.68,84.8,84.91,85.02,85.14,85.25,85.36,85.47,85.58,85.69,85.8,85.91,86.02,86.13,86.23,86.34,86.45,86.55,86.66,86.77,86.87,86.98,87.08,87.19
Armenia,73.99,76.01,76.14,76.28,76.41,76.55,76.69,76.83,76.97,77.1,77.24,77.38,77.52,77.65,77.79,77.92,78.06,78.19,78.32,78.46,78.59,78.73,78.86,78.99,79.13,79.26,79.39,79.52,79.66,79.79,79.92,80.05,80.19,80.32,80.46,80.59,80.73,80.86,81,81.13,81.27,81.4,81.54,81.67,81.81,81.94,82.07,82.21,82.34,82.47,82.6,82.74,82.87,83,83.13,83.25,83.38,83.51,83.63,83.76,83.88,84,84.13,84.25,84.37,84.49,84.61,84.72,84.84,84.95,85.07,85.18,85.29,85.4,85.51,85.63,85.74,85.85,85.96,86.07,86.18
Australia,82.91,83.19,83.32,83.46,83.58,83.71,83.83,83.95,84.07,84.19,84.32,84.44,84.56,84.68,84.8,84.92,85.04,85.15,85.27,85.39,85.5,85.62,85.73,85.85,85.96,86.08,86.19,86.3,86.42,86.53,86.64,86.76,86.87,86.98,87.09,87.21,87.32,87.43,87.55,87.66,87.77,87.88,88,88.11,88.22,88.34,88.45,88.57,88.68,88.79,88.91,89.02,89.13,89.24,89.35,89.47,89.58,89.69,89.8,89.91,90.02,90.13,90.24,90.35,90.47,90.58,90.7,90.81,90.92,91.03,91.14,91.25,91.36,91.47,91.58,91.69,91.8,91.91,92.02,92.13,92.25
Austria,81.47,82.44,82.59,82.75,82.91,83.07,83.24,83.4,83.57,83.74,83.9,84.06,84.22,84.37,84.51,84.65,84.78,84.9,85.03,85.15,85.27,85.39,85.51,85.63,85.75,85.87,85.99,86.11,86.22,86.34,86.45,86.57,86.68,86.8,86.91,87.02,87.13,87.25,87.36,87.47,87.58,87.69,87.81,87.92,88.03,88.14,88.25,88.37,88.48,88.59,88.7,88.81,88.92,89.03,89.14,89.25,89.36,89.47,89.58,89.69,89.8,89.91,90.02,90.13,90.24,90.35,90.46,90.57,90.68,90.79,90.9,91.01,91.12,91.23,91.34,91.45,91.56,91.67,91.78,91.89,92
