geo,name,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
afg,Afghanistan,28.21,28.2,28.19,28.18,28.17,28.16,28.15,28.14,28.13,28.12,28.11,28.1,28.09,28.08,28.07,28.06,28.05,28.04,28.03,28.02,28.01,28,27.99,27.98,27.97,27.95,27.94,27.93,27.92,27.91,27.9,27.89,27.88,27.87,27.86,27.85,27.84,27.83,27.82,27.81,27.8,27.79,27.78,27.77,27.76,27.75,27.74,27.73,27.72,27.71,27.7,27.69,27.68,27.67,27.66,27.65,27.64,27.63,27.62,27.61,27.6,27.59,27.58,27.57,27.56,27.54,27.53,27.52,27.51,27.5,27.49,27.69,27.89,28.08,28.28,28.47,28.67,28.87,29.06,29.26,29.45,29.65,29.84,30.03,30.23,30.42,30.62,30.81,31.01,31.2,31.39,31.59,31.78,31.97,32.16,32.36,32.55,32.74,32.93,33.13,33.32,33.51,33.7,33.89,34.08,34.28,34.47,34.66,34.85,35.04,35.23,35.42,35.61,35.8,35.99,36.18,36.37,36.56,9.59,36.94,37.12,37.31,37.5,37.69,37.88,38.07,38.25,38.44,38.63,38.82,39,39.19,39.38,39.57,39.75,39.94,40.12,40.31,40.5,40.68,40.87,41.05,41.24,41.43,41.61,41.8,41.98,42.16,42.35,42.53,42.72,42.92,43.14,43.45,43.34,43.88,44.07,44.29,44.5,44.73,45.03,45.28,45.51,45.69,45.91,46.13,46.3,46.48,46.68,46.87,47.08,47.26,47.27,47.33,47.41,47.55,47.72,47.87,46.42,44.68,43.68,44.34,44.06,42.27,39.9,42.03,43.27,45.88,48.51,52.73,53.83,53.76,54.24,54.4,53.89,54.33,54.69,54.46,53.34,54.73,54.73,54.83,55.54,56.5,57.14,57.63,58,58.5,59.18,59.9,60.46,61.02,61.43,61.93,61.93,61.91,62.03,62.9,62.73,63.33,63.39,63.98,64.3,64.6,64.89,65.17,65.44,65.7,65.95,66.18,66.42,66.64,66.86,67.07,67.28,67.48,67.68,67.87,68.05,68.23,68.41,68.59,68.75,68.92,69.08,69.24,69.39,69.55,69.7,69.85,70,70.15,70.29,70.44,70.58,70.72,70.86,71,71.13,71.27,71.4,71.54,71.68,71.81,71.95,72.08,72.22,72.35,72.48,72.61,72.74,72.88,73.01,73.14,73.28,73.41,73.55,73.68,73.82,73.95,74.08,74.22,74.35,74.49,74.62,74.75,74.89,75.02,75.16,75.29,75.42,75.55,75.69,75.82,75.95,76.09,76.22,76.36,76.5,76.64,76.77
alb,Albania,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.38,35.37,35.35,35.34,35.32,35.3,35.29,35.27,35.25,35.24,35.22,35.21,35.19,35.17,35.16,35.14,35.12,35.11,35.09,35.08,35.06,35.04,35.03,35.01,35,34.98,34.96,34.95,34.93,34.91,34.9,34.88,34.87,34.85,34.83,34.82,34.8,34.78,34.77,34.75,34.74,34.72,34.7,34.69,34.67,34.66,34.64,19,34.61,34.59,34.57,34.56,34.54,34.53,34.51,34.49,34.48,34.46,34.45,35.3,36.15,37,37.86,38.71,39.56,40.41,41.25,42.1,41.64,40.66,40.15,38.68,35.77,32.85,45.39,48.26,49.69,50.53,51.37,52.21,53.58,54.48,55.35,56.15,56.27,58.04,59.26,60.96,61.74,62.55,63.28,63.32,63.78,64.37,64.79,65.55,66.07,66.55,67.1,67.79,68.34,68.84,69.31,69.75,70.19,70.66,71.13,71.7,71.35,71.25,71.32,71.41,71.23,71.41,71.89,72.27,72.21,72.38,72.47,72.76,72.64,73.23,73.83,74.59,74.61,74.55,72.91,74.83,75.07,75.39,76.02,75.93,75.62,75.77,76.2,76.9,77.5,77.57,77.97,78.13,78.13,78.22,78.28,78.21,78.14,78.23,78.33,78.44,78.5,77.9,78.73,78.84,78.96,79.09,79.23,79.37,79.53,79.69,79.85,80.02,80.18,80.34,80.5,80.65,80.79,80.93,81.06,81.2,81.34,81.47,81.61,81.75,81.89,82.02,82.16,82.3,82.44,82.58,82.72,82.85,82.99,83.12,83.26,83.39,83.52,83.65,83.77,83.9,84.02,84.14,84.26,84.38,84.49,84.61,84.72,84.83,84.94,85.05,85.16,85.27,85.37,85.47,85.58,85.68,85.78,85.88,85.98,86.08,86.19,86.29,86.39,86.49,86.6,86.7,86.8,86.9,87,87.11,87.21,87.31,87.42,87.52,87.62,87.73,87.83,87.94,88.04,88.15,88.25,88.36
dza,Algeria,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,20,15,22,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,21,11,15,22,28.93,29.05,29.16,29.27,29.38,29.49,29.6,29.71,29.83,29.94,30.05,30.16,30.27,30.38,30.5,30.61,30.72,30.83,30.94,31.05,31.16,31.28,31.39,31.5,31.61,31.72,31.83,31.94,32.06,32.21,32.37,32.53,33.67,27.29,30.31,31.93,31.93,31.93,33.67,35.55,35.35,36.96,34.6,34.12,33.65,33.32,33.43,26.15,33.65,32.82,32.93,32.69,35.7,37.44,38.37,37.68,32.33,36.48,36.8,38.36,36.06,37.69,39.2,38.59,40.79,42.3,40.19,39.53,42.27,42.85,40.91,40.22,34.86,41.28,38.7,41.41,45.43,49.21,52.15,55.12,55.6,56.05,56.38,52.44,53.07,53.45,53.01,52.8,52.6,52.38,51.51,51.53,55.8,56.7,56.8,56.21,56.13,56.07,56.14,56.23,56.18,56.31,56.45,56.68,56.87,57.09,57.75,58.2,58.77,58.73,59.87,60.84,62.26,63.27,64.7,65.5,66.03,66.57,67.07,67.48,67.93,68.28,68.59,68.73,69.04,69.61,69.66,70.19,70.71,70.96,71.35,71.76,72,72.57,72.94,73.26,73.56,73.88,74.16,74.48,74.69,74.93,75.12,75.27,75.44,75.71,75.92,76.02,76.2,76.2,76.56,76.74,76.91,77.09,77.26,77.43,77.6,77.77,77.94,78.11,78.27,78.44,78.6,78.76,78.92,79.08,79.24,79.39,79.55,79.71,79.86,80.01,80.17,80.32,80.47,80.62,80.77,80.92,81.07,81.21,81.36,81.5,81.65,81.79,81.93,82.07,82.2,82.34,82.47,82.61,82.74,82.87,83,83.12,83.25,83.37,83.49,83.62,83.74,83.85,83.97,84.09,84.2,84.31,84.42,84.53,84.64,84.74,84.84,84.95,85.05,85.15,85.25,85.35,85.46,85.56,85.66,85.77,85.87,85.98,86.08,86.19,86.29,86.39,86.5,86.6,86.7,86.8,86.9,87
and,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.62,74.72,74.83,74.95,75.08,75.21,75.32,75.43,75.51,75.63,75.74,75.83,75.94,76.04,76.18,76.3,76.41,76.55,76.67,76.83,76.97,77.08,77.22,77.37,77.55,77.7,77.82,77.95,78.08,78.23,78.34,78.41,78.48,78.52,78.61,78.71,78.78,78.84,78.89,78.96,79.03,79.12,79.16,79.35,79.51,79.75,79.96,80.2,80.41,80.6,80.76,80.92,81.09,81.22,81.26,81.4,81.49,81.66,81.75,81.78,81.85,81.91,81.94,81.95,81.97,82.01,82.06,82.11,82.14,82.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ago,Angola,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,27.17,27.36,27.55,27.74,27.92,28.11,28.3,28.49,28.68,28.87,29.06,29.25,29.44,29.63,29.81,30,30.19,30.38,30.57,30.76,30.95,31.14,31.33,31.51,31.7,31.89,32.08,32.27,32.46,32.65,32.84,33.03,33.21,33.4,33.59,33.78,33.97,34.16,34.35,34.54,34.73,34.92,35.1,35.29,35.48,35.67,35.86,13.94,36.24,36.43,36.62,36.8,36.99,37.18,37.37,37.56,37.75,37.94,38.13,38.32,38.5,38.69,38.88,39.07,39.26,39.45,39.64,39.83,40.02,40.21,40.73,41.25,41.78,42.31,42.85,43.39,43.93,44.47,45.02,45.57,45.57,45.57,45.56,45.56,45.54,45.68,45.8,45.88,46.06,46.25,44.81,44.99,45.17,45.37,45.58,45.78,45.98,46.19,46.39,46.57,46.79,46.95,47.16,47.36,47.46,47.54,47.66,47.82,47.97,48.13,48.21,48.24,48.22,48.38,48.56,48.56,48.65,48.59,49.37,49.67,50.31,50.34,48.98,50.33,51.16,51.66,51.65,50.62,51.92,52.78,53.44,54.48,55.09,55.53,56.35,56.96,57.95,58.76,59.49,60.21,60.84,61.44,62.13,63.01,63.52,63.87,64.24,64.63,65.08,65.2,65.78,66.11,66.43,66.75,67.07,67.39,67.71,68.02,68.31,68.61,68.89,69.16,69.43,69.7,69.96,70.21,70.45,70.69,70.92,71.14,71.36,71.57,71.77,71.98,72.17,72.36,72.55,72.74,72.92,73.09,73.27,73.44,73.6,73.77,73.93,74.09,74.24,74.4,74.55,74.7,74.85,74.99,75.13,75.28,75.41,75.55,75.69,75.83,75.96,76.1,76.23,76.37,76.5,76.64,76.77,76.9,77.03,77.16,77.29,77.42,77.54,77.67,77.8,77.93,78.05,78.18,78.31,78.44,78.57,78.7,78.83,78.96,79.09,79.22,79.35,79.48,79.61,79.74,79.88,80.01
atg,Antigua and Barbuda,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.55,33.55,33.56,33.56,33.57,33.57,33.58,33.58,33.58,33.59,33.59,33.6,33.6,33.61,33.61,33.61,33.62,33.62,33.63,33.63,33.64,33.64,33.64,33.65,33.65,33.66,33.66,33.67,33.67,33.68,33.68,33.68,33.69,33.69,33.7,33.7,33.71,33.71,33.71,33.72,33.72,33.73,33.73,33.74,33.74,21.89,33.75,33.75,33.76,34.6,35.43,36.27,37.11,37.95,38.79,39.63,40.46,41.3,42.14,42.98,43.82,44.66,45.5,46.34,47.18,48.03,48.87,49.71,50.55,51.39,52.23,53.08,53.92,54.76,55.6,56.45,57.29,58.13,58.72,59.28,59.82,60.32,60.93,61.52,61.93,62.56,63.29,63.83,64.76,65.49,65.79,66.1,66.73,67.1,67.23,67.62,68,68.32,68.87,69.4,69.82,70.05,70.23,70.35,70.59,71.02,71.61,72.09,72.61,73.24,73.75,73.48,73.77,74,74.19,74.32,74.26,74.04,74.02,73.97,73.38,73.35,73.26,73.96,73.46,74.53,74.66,74.83,75.09,75.36,75.6,75.72,75.9,75.89,75.08,75.19,75.84,75.92,75.95,76.02,76.11,75.97,75.97,76.02,76.09,76.21,76.29,76.25,76.55,76.67,76.8,76.93,77.06,77.19,77.32,77.44,77.57,77.7,77.83,77.96,78.08,78.21,78.34,78.46,78.59,78.72,78.84,78.97,79.09,79.22,79.34,79.47,79.59,79.72,79.84,79.97,80.1,80.22,80.35,80.48,80.6,80.73,80.85,80.98,81.1,81.23,81.35,81.48,81.6,81.72,81.85,81.97,82.09,82.22,82.34,82.46,82.58,82.7,82.82,82.94,83.05,83.17,83.28,83.4,83.51,83.62,83.73,83.84,83.95,84.06,84.16,84.27,84.37,84.48,84.58,84.68,84.78,84.88,84.98,85.08,85.18,85.28,85.38,85.47,85.57,85.67,85.77,85.86
arg,Argentina,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.21,33.23,33.24,33.25,33.26,33.26,33.25,33.24,33.23,33.23,33.14,33.05,32.96,32.87,32.79,33.08,33.38,33.67,33.96,34.26,34.13,34,33.88,33.75,33.62,34.34,35.06,35.78,36.5,37.22,37.82,38.42,39.03,39.63,40.23,41.02,41.8,42.59,43.38,44.17,44.73,45.3,45.86,46.43,46.99,47.83,48.66,42.53,50.33,51.16,51.67,52.18,52.69,53.2,53.71,54.07,54.44,54.81,55.18,55.55,55.57,55.59,55.61,55.63,55.65,56.65,57.66,58.67,59.67,60.68,61.3,61.92,62.54,63.16,63.78,63.68,63.59,63.49,63.39,63.3,63.54,64.19,64.12,64.71,64.51,65.18,65.15,65.4,65.4,65.26,65.74,65.75,65.75,65.82,66.13,66.58,66.55,65.99,65.93,66.13,66.89,67.33,67.73,67.91,68.03,66.99,67.69,69.04,69.84,70.23,70.32,70.92,70.71,70.82,71.73,71.95,72.06,72.13,72.34,72.47,72.69,72.75,73.03,73.36,73.44,73.49,73.6,73.65,73.79,74.22,74.33,74.28,74.43,74.92,75.28,75.41,75.32,75.68,75.85,75.94,76.04,76.17,76.27,76.47,76.5,76.24,76.28,76.48,76.58,74.61,76.87,77.01,77.16,77.3,77.45,77.6,77.75,77.9,78.04,78.19,78.34,78.49,78.64,78.78,78.93,79.08,79.23,79.37,79.52,79.67,79.82,79.96,80.11,80.26,80.41,80.56,80.7,80.85,81,81.15,81.29,81.44,81.59,81.73,81.87,82.02,82.16,82.3,82.44,82.58,82.71,82.85,82.98,83.11,83.24,83.36,83.49,83.61,83.74,83.86,83.98,84.1,84.22,84.34,84.45,84.57,84.68,84.8,84.91,85.02,85.14,85.25,85.36,85.47,85.58,85.69,85.8,85.91,86.02,86.13,86.23,86.34,86.45,86.55,86.66,86.77,86.87,86.98,87.08,87.19
arm,Armenia,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,33.47,32.95,32.42,31.9,31.38,31.42,31.46,31.51,31.55,31.6,31.8,32,32.2,32.4,32.6,32.8,33,33.2,33.4,33.6,33.8,34,34.2,34.4,34.6,34.8,35,35.2,35.4,35.6,35.8,36,36.2,36.4,36.23,36.06,35.9,36.15,36.4,36.65,36.9,37.15,37.4,37.65,37.9,38.15,38.4,41.35,41.78,39.61,39.2,38.8,38.8,35.8,27,37,28,38,39,39.87,42.37,41.47,44.67,44,45.51,44.27,43.58,42,39.5,33,45.95,47.5,49.17,48.18,49.87,52.27,49.8,27.45,23.52,21.13,27.54,35.39,49.62,41.51,47.03,47.91,48.23,49.02,50.04,51.06,52.14,53.28,54.5,55.66,56.55,57.98,59.22,60.37,61.36,62.03,62.86,63.59,64.2,64.68,65.07,65.25,65.86,66.36,66.78,67.22,67.9,68.23,68.96,69.52,69.66,70.18,70.2,70.46,70.76,70.8,71.09,71.27,71.66,71.81,55.29,71.04,70.58,70.32,69.37,68.96,69.47,70.08,70.42,71.14,71.6,71.9,72.38,72.5,72.71,72.78,72.99,73.05,73.1,73.45,73.46,73.64,73.91,74.2,74.57,75.06,75.19,75.11,75.26,75.54,75.63,75.73,73.99,76.01,76.14,76.28,76.41,76.55,76.69,76.83,76.97,77.1,77.24,77.38,77.52,77.65,77.79,77.92,78.06,78.19,78.32,78.46,78.59,78.73,78.86,78.99,79.13,79.26,79.39,79.52,79.66,79.79,79.92,80.05,80.19,80.32,80.46,80.59,80.73,80.86,81,81.13,81.27,81.4,81.54,81.67,81.81,81.94,82.07,82.21,82.34,82.47,82.6,82.74,82.87,83,83.13,83.25,83.38,83.51,83.63,83.76,83.88,84,84.13,84.25,84.37,84.49,84.61,84.72,84.84,84.95,85.07,85.18,85.29,85.4,85.51,85.63,85.74,85.85,85.96,86.07,86.18
aus,Australia,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.58,35.11,35.64,36.18,36.71,37.24,37.77,38.3,38.84,39.37,39.9,40.43,40.97,41.5,42.03,42.56,43.1,43.63,44.16,44.7,45.23,45.76,46.3,46.83,47.36,47.9,48.43,48.96,49.5,50.03,50.56,51.1,51.63,52.16,52.7,53.23,53.77,54.3,54.84,55.37,55.9,56.44,56.97,57.51,58.04,58.58,59.11,54.98,60.18,60.72,61.25,63.11,61.95,62.76,63.46,63.18,63.16,63.21,63.41,65.23,65.66,65.97,65.8,65.17,65.44,65.57,66.13,66.18,66.13,66.58,66.46,66.21,66.73,68.38,68.81,68.34,68.95,68.88,69.51,69.4,69.22,69.5,69.92,70.16,70.34,70.42,70.62,70.95,70.86,71.11,71.29,71.21,71.18,71.02,71.1,71.12,71.1,71.04,71.15,71.15,71.44,71.78,71.93,71.95,72.51,72.85,73.28,73.76,74.22,74.51,74.8,74.91,75.32,75.5,75.59,76.05,76.22,76.36,76.46,77,77.43,77.62,77.93,78.01,78.29,78.47,78.77,79.09,79.4,79.72,80.06,80.27,80.59,80.92,81.24,81.48,81.55,81.65,81.87,82.12,82.28,82.56,82.71,82.72,82.73,82.95,83,82.9,82.89,82.91,83.19,83.32,83.46,83.58,83.71,83.83,83.95,84.07,84.19,84.32,84.44,84.56,84.68,84.8,84.92,85.04,85.15,85.27,85.39,85.5,85.62,85.73,85.85,85.96,86.08,86.19,86.3,86.42,86.53,86.64,86.76,86.87,86.98,87.09,87.21,87.32,87.43,87.55,87.66,87.77,87.88,88,88.11,88.22,88.34,88.45,88.57,88.68,88.79,88.91,89.02,89.13,89.24,89.35,89.47,89.58,89.69,89.8,89.91,90.02,90.13,90.24,90.35,90.47,90.58,90.7,90.81,90.92,91.03,91.14,91.25,91.36,91.47,91.58,91.69,91.8,91.91,92.02,92.13,92.25
aut,Austria,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.45,34.51,34.56,34.62,34.67,34.72,34.78,34.83,34.89,34.94,34.99,35.22,35.45,35.68,35.91,36.14,36.37,36.6,36.83,37.06,37.29,37.76,38.23,38.7,39.16,39.63,40.1,40.57,41.04,41.51,41.98,41.03,40.08,40.7,41.33,41.95,42.58,43.2,43.82,44.45,45.07,45.64,46.2,46.77,47.34,47.9,48.47,32.41,49.6,50.17,50.74,51.3,51.87,52.44,53,53.57,54.13,54.7,55.27,55.83,56.4,56.7,57,57.31,57.61,57.91,58.21,58.52,58.04,57.74,56.44,54.04,50.14,39.06,31.36,55.93,61.24,63.16,63.35,64.8,65.48,66.68,67.23,67.32,67.68,67.78,67.79,68.38,68.54,68.96,69.58,69.65,69.78,70.04,70.09,70.22,70.23,70.27,70.16,70.21,70.38,70.66,71.09,71.21,71.44,71.85,72.15,72.37,72.62,72.84,73.1,73.27,73.49,73.87,74.26,74.69,75.12,75.52,75.7,75.97,76.09,76.26,76.46,76.74,77.03,77.28,77.65,77.91,78.17,78.49,78.86,79.02,79.14,79.49,79.75,80.11,80.29,80.5,80.55,80.79,81,81.15,81.33,81.51,81.57,81.78,82,82.12,82.16,81.47,82.44,82.59,82.75,82.91,83.07,83.24,83.4,83.57,83.74,83.9,84.06,84.22,84.37,84.51,84.65,84.78,84.9,85.03,85.15,85.27,85.39,85.51,85.63,85.75,85.87,85.99,86.11,86.22,86.34,86.45,86.57,86.68,86.8,86.91,87.02,87.13,87.25,87.36,87.47,87.58,87.69,87.81,87.92,88.03,88.14,88.25,88.37,88.48,88.59,88.7,88.81,88.92,89.03,89.14,89.25,89.36,89.47,89.58,89.69,89.8,89.91,90.02,90.13,90.24,90.35,90.46,90.57,90.68,90.79,90.9,91.01,91.12,91.23,91.34,91.45,91.56,91.67,91.78,91.89,92
